Name,Address,Rating,Reviews,Price (USD)
Alhambra Hotel,Camden,7.7,4293,76
St. David's Hotels Paddington,Westminster,7.8,1057,87
Central Hotel,Camden,7.8,4907,94
Swinton Hotel,Camden,7.5,5405,80
Crestfield Hotel,Camden,7.8,6470,89
The Chapter - Hyde Park Hotel,Westminster,7,93,100
Chelsea House Hotel - B&B,Kensington and Chelsea,7.6,3704,104
Kensington Gardens Hotel,Westminster,8.1,1771,99
Belvedere Hotel,Westminster,6.9,3727,97
The Melville Hotel by Rokxy- Kings Cross,Camden,6.9,2583,105
Angus Hotel,Camden,7.7,3732,79
BOKA Earls Court,Kensington and Chelsea,5.8,923,49
Bower House,Westminster,8.2,1176,89
Fountain Hotel,Haringey,7.3,1942,112
Leisure Inn Hotel,Westminster,6.1,1119,61
St Athans Hotel,Camden,7.4,2373,87
Arriva Hotel,Camden,6.7,5892,77
Columbus Hotel,Westminster,7.3,1346,116
Tony's House Hotel,Westminster,6.1,1819,77
St Simeon,Kensington and Chelsea,7.9,2042,100
Homefield Lodge,Brent,8.1,962,59
Elmwood Hotel,Camden,6,2288,67
Seymour Hotel,Westminster,5.3,1426,60
Viking Hotel,Newham,7.7,1836,999
The Chapter - Mayfair Residences,Westminster,8.1,221,200
Fairway Hotel,Camden,7.7,2384,94
Avonmore Hotel,Camden,7.2,1849,135
YHA London Thameside,Southwark,8.3,1277,30
Earls Court Garden Hotel,Kensington and Chelsea,4.1,2499,56
Wardonia Hotel Kings Cross,Camden,6.8,2971,94
Balmoral House Hotel,Westminster,7.4,1535,113
The Paramount Hotel,Kensington and Chelsea,7,3641,69
Albro House Hotel,Westminster,7.7,1246,84
St George Hotel,Westminster,5,2418,75
Manor Hotel,Kensington and Chelsea,5.6,1443,52
Ridgemount Hotel,Camden,8.6,3047,172
Dover Hotel - B&B,Westminster,7,3254,95
The Beverley House Hotel,Westminster,7.4,3016,144
Marble Arch Inn,Westminster,7.1,2517,69
Amsterdam Hotel,Kensington and Chelsea,5.4,724,59
Hyde Park Court Hotel,Westminster,5.5,1469,65
Kings Cross Hotel London,Camden,6,1956,78
London Olympus Hotel Nirvana,Newham,7.1,1047,80
Enrico Hotel,Westminster,5.9,1610,69
Somerset Hotel Baker Street London,Westminster,5.4,559,67
The Park Hotel,Westminster,5.2,1848,72
Wedgewood Hotel,Westminster,5.9,3506,53
easyHotel Paddington,Westminster,5,2015,58
Avon Hotel,Westminster,6.7,1982,149
Lords Hotel,Westminster,6.8,5339,86
Plaza Hotel,Hammersmith and Fulham,6.5,1128,80
Brick lane stay,Tower Hamlets,4.9,1009,54
StayInn Trafalgar Square,Westminster,5.8,422,145
West Cromwell Hotel,Kensington and Chelsea,7,1907,77
Four Stars Hotel,Westminster,5.1,1653,79
ND Hotel - Hyde Park,Westminster,5.1,1374,75
The Brompton Hotel,Kensington and Chelsea,6,1076,76
StayInn Soho Apartments,Westminster,6,484,126
Duke and Duchess Apartments and Rooms - Private in Room Hot Tub Suites,Islington,6.2,674,95
The Marker Hotel,Camden,7.6,15,128
City Inn Express Hotel,Hackney,6.5,63,100
The Long Room Hotel and Bar,Wandsworth,6.3,850,79
Palace Court Hotel,Kensington and Chelsea,5.2,2887,61
St George's Hotel,Westminster,6.2,4261,102
Classic Hyde Park Hotel,Westminster,7.1,1482,89
City View Hotel Stratford,Newham,4.5,856,80
Beaconsfield Hotel,Haringey,5.7,1642,88
City View Hotel Roman Road,Tower Hamlets,3.9,690,59
WNS Apartments Canary Wharf,Tower Hamlets,5.7,719,89
Hotel Lily,Hammersmith and Fulham,4.3,2691,79
Onefam Notting Hill,Kensington and Chelsea,8.5,1765,115
The Grapevine Hotel,Westminster,4.5,1541,75
Stanley House Hotel,Westminster,6.1,2104,104
Holland Inn Hotel,Kensington and Chelsea,5.1,1131,81
Hotel 261,Hammersmith and Fulham,6.4,1622,81
Kensal Green Backpackers 2,Brent,5.4,2361,48
Hour Glass Hotel,Southwark,6.9,1390,80
Charlie Hotel,Islington,5.8,2005,111
Hotel Citystay,Tower Hamlets,5.5,890,65
London Olympus Hotel,Newham,6.8,630,80
Forest Gate Hotel - Free Parking limited spaces,Newham,4.4,635,62
City View Hotel - Roman Road Market,Tower Hamlets,4.5,451,57
L S Hotel,Haringey,5.8,5,94
The Z Hotel Holborn,Camden,8.1,16924,60
The Z Hotel Covent Garden,Westminster,8.1,10445,65
The Z Hotel Piccadilly,Westminster,7.9,10245,65
The Z Hotel Soho,Westminster,7.5,7016,70
The Z Hotel Tottenham Court Road,Westminster,8,9816,65
ibis Styles London Gloucester Road,Kensington and Chelsea,7.9,3187,81
The Z Hotel Gloucester Place,Westminster,7.9,6292,60
The Z Hotel Trafalgar,Westminster,8.4,13758,75
Hampton by Hilton London Waterloo,Lambeth,8.2,6357,125
The Z Hotel Strand,Westminster,8.4,12142,70
The Judd Hotel,Camden,7.3,3359,104
St Giles London – A St Giles Hotel,Camden,7,15102,94
The Montana Hotel,Kensington and Chelsea,7.8,6263,77
Four Points Flex by Sheraton London Euston,Camden,7.1,321,83
NOX Belsize Park,Camden,8.1,417,55
Royal National Hotel,Camden,7.5,10342,110
Tavistock Hotel,Camden,7.7,6174,105
The Z Hotel Victoria,Westminster,7.8,9153,80
President Hotel,Camden,7.5,4611,120
Point A Hotel London Kings Cross – St Pancras,Camden,7.9,5094,100
The Z Hotel Shoreditch,Islington,7.8,8172,55
Heeton Concept Hotel - Kensington London,Kensington and Chelsea,7.4,3081,74
Motel One London-Tower Hill,City of London,8.5,7568,119
City Inn Russell Square,Camden,6.7,1509,73
"Holiday Inn Express London Greenwich, an IHG Hotel",Greenwich,7.9,9186,80
Best Western Buckingham Palace Rd,Westminster,7.8,2296,124
"Holiday Inn Express Park Royal, an IHG Hotel",Ealing,8.1,3977,74
"Holiday Inn Express London Chingford, an IHG Hotel",Waltham Forest,7.2,2992,55
The Sanctuary House Hotel,Westminster,8.6,2159,170
ibis Styles London Southwark - near Borough Market,Southwark,8.6,4264,120
ibis London City - Shoreditch,Tower Hamlets,7.9,7164,85
"Holiday Inn Express Southwark, an IHG Hotel",Southwark,8.1,5476,95
Assembly Leicester Square,Westminster,7.9,6029,135
The Jade,Kensington and Chelsea,7.7,2117,74
Cheshire Hotel Central London,Westminster,6.7,2058,89
The California,Camden,7.7,4590,115
ibis London Canning Town,Newham,8.9,6576,84
The Brook Green Hotel,Hammersmith and Fulham,8.6,1198,109
Coronation Hotel,Kensington and Chelsea,6.7,942,69
The Z Hotel City,City of London,7.8,8953,65
"Holiday Inn Express London-Hammersmith, an IHG Hotel",Hammersmith and Fulham,8,8072,105
Stylotel,Westminster,7.8,3051,90
Hotel Edward Paddington,Westminster,7,3794,104
Wilson House - Camden,Camden,8.3,172,64
George Hotel,Camden,7.3,2691,99
Four Points Flex by Sheraton London Shoreditch East,Tower Hamlets,7.7,4818,98
"Holiday Inn Express London Limehouse, an IHG Hotel",Tower Hamlets,7.7,6255,79
Euston Square Hotel,Camden,7.5,3559,105
Sonder The Gilbert,Kensington and Chelsea,7.6,833,128
Sidney Hotel London-Victoria,Westminster,7.9,12632,105
Prince William Hotel,Westminster,7.4,412,80
Elysee Hyde Park,Westminster,7.2,1518,81
Argo Hotel - Kings Cross,Camden,7.7,1873,125
Keystone House,Islington,7.9,6106,88
"Sonder The Prince, Vauxhall",Lambeth,7.7,563,120
Point A Hotel London Canary Wharf,Tower Hamlets,8.2,5098,64
Euro Hotel,Camden,8,3895,170
Alexandra Hotel,Westminster,7,6435,80
The Nayland Hotel,Westminster,7.4,3422,71
Rhodes Hotel,Westminster,7.3,3013,84
Mentone Hotel,Camden,7.9,3392,108
Pembridge Palace Hotel,Westminster,8,10936,88
"Holiday Inn Express London - Wandsworth, an IHG Hotel",Wandsworth,7.7,4555,120
Staycity Aparthotels London Greenwich High Road,Greenwich,9,1881,89
ibis London Shepherds Bush - Hammersmith,Hammersmith and Fulham,7.9,2619,89
Days Inn Hyde Park,Westminster,7.6,1857,120
Best Western Chiswick Palace & Suites London,Hounslow,8.1,2885,80
ibis London Stratford,Newham,7.6,3271,67
The Tudor Inn Hotel,Westminster,7.2,407,99
Generator London,Camden,6.9,11661,67
Oxford Hotel,Kensington and Chelsea,8,2799,91
The Fox & Goose Hotel,Ealing,9.1,6652,103
Hampton by Hilton London Park Royal,Ealing,8.2,3976,84
Bedford Hotel,Camden,7.9,1399,150
Lidos Hotel,Westminster,7.8,494,88
Parkwood Hotel,Westminster,7.5,2211,125
"Holiday Inn Express London - ExCel, an IHG Hotel",Newham,8.1,5407,81
The Royale Chulan Hyde Park Hotel,Westminster,7.5,3668,78
"Holiday Inn Express Royal Docks, an IHG Hotel",Newham,7.8,6130,79
Sonder The Voyage,Westminster,7.7,764,129
Athena Hotel,Westminster,7.9,1448,95
Best Western Northfields Ealing Hotel,Ealing,8,3676,70
Mowbray Court Hotel,Kensington and Chelsea,7.4,2646,83
West End Lane II,Camden,8,907,89
Astor Court Hotel,Westminster,8.3,5788,178
Central Park Hotel,Westminster,6.6,17765,79
Hampton By Hilton London Docklands,Newham,8.3,5985,87
The Eaton Townhouse,Westminster,7.5,1097,95
"Holiday Inn Express London Victoria, an IHG Hotel",Westminster,7.7,1534,123
The Chapter - Griffin House Hotel,Westminster,7.7,983,95
ibis London Blackfriars,Southwark,7.9,6529,99
"Holiday Inn Express London Stratford, an IHG Hotel",Newham,8.4,8134,65
Best Western Corona Hotel,Westminster,7.4,2994,101
Ascot Hyde Park Hotel,Westminster,5.7,3828,62
Clink261 Hostel,Camden,7.3,7775,69
Maiden Oval,Lambeth,7.5,2140,77
Victoria Studios,Brent,7.9,2047,69
The Windmill On The Common,Lambeth,8.4,977,129
London Lodge Hotel,Kensington and Chelsea,8.3,1729,127
St George's Inn Victoria,Westminster,6.8,3024,99
Trebovir Hotel,Kensington and Chelsea,7.5,3629,128
Kensington Rooms - Philbeach Gardens,Kensington and Chelsea,7.9,963,101
ibis London Greenwich,Greenwich,7.7,2331,67
Eurotraveller Hotel - Premier - Tower Bridge,Southwark,7.6,4045,113
Eurotraveller Hotel- Express (Elephant & Castle),Southwark,7.9,855,132
The Pack And Carriage London,Camden,7.5,2236,108
Comfort Inn Victoria,Westminster,7.6,2608,111
The Columbia,Westminster,7.3,4974,95
