Country,Year,Country Code,WJP Rule of Law Index: Overall Score,EPI
Cambodia,2014,KHM,0.4,35.44
China,2014,CHN,0.45,43
Indonesia,2014,IDN,0.52,44.36
Japan,2014,JPN,0.78,72.35
"Korea, Rep.",2014,KOR,0.77,63.79
Malaysia,2014,MYS,0.58,59.31
Myanmar,2014,MMR,0.41,27.44
Philippines,2014,PHL,0.5,44.02
Singapore,2014,SGP,0.79,81.78
Thailand,2014,THA,0.52,52.83
Vietnam,2014,VNM,0.48,38.17
Cambodia,2016,KHM,0.33,51.24
China,2016,CHN,0.49,65.1
Indonesia,2016,IDN,0.52,65.85
Japan,2016,JPN,0.78,80.59
"Korea, Rep.",2016,KOR,0.73,70.61
Malaysia,2016,MYS,0.54,74.23
Myanmar,2016,MMR,0.44,48.98
Philippines,2016,PHL,0.51,73.7
Singapore,2016,SGP,0.82,87.04
Thailand,2016,THA,0.52,69.54
Vietnam,2016,VNM,0.51,58.5
Cambodia,2018,KHM,0.32,43.23
China,2018,CHN,0.5,50.74
Indonesia,2018,IDN,0.52,46.92
Japan,2018,JPN,0.79,74.69
"Korea, Rep.",2018,KOR,0.72,62.3
Malaysia,2018,MYS,0.54,59.22
Myanmar,2018,MMR,0.42,45.32
Philippines,2018,PHL,0.47,57.65
Singapore,2018,SGP,0.8,64.23
Thailand,2018,THA,0.51,49.88
Vietnam,2018,VNM,0.5,46.96
Cambodia,2020,KHM,0.33,33.6
China,2020,CHN,0.48,37.3
Indonesia,2020,IDN,0.53,37.8
Japan,2020,JPN,0.78,75.1
"Korea, Rep.",2020,KOR,0.73,66.5
Malaysia,2020,MYS,0.58,47.9
Myanmar,2020,MMR,0.42,25.1
Philippines,2020,PHL,0.47,38.4
Singapore,2020,SGP,0.79,58.1
Thailand,2020,THA,0.51,45.4
Vietnam,2020,VNM,0.49,33.4
Cambodia,2022,KHM,0.31,30.1
China,2022,CHN,0.47,28.4
Indonesia,2022,IDN,0.53,28.2
Japan,2022,JPN,0.79,57.2
"Korea, Rep.",2022,KOR,0.73,46.9
Malaysia,2022,MYS,0.57,35
Myanmar,2022,MMR,0.36,19.4
Philippines,2022,PHL,0.47,28.9
Singapore,2022,SGP,0.78,50.9
Thailand,2022,THA,0.5,38.1
Vietnam,2022,VNM,0.49,20.1
Cambodia,2024,KHM,0.31,31.2
China,2024,CHN,0.47,35.4
Indonesia,2024,IDN,0.53,33.6
Japan,2024,JPN,0.79,61.4
"Korea, Rep.",2024,KOR,0.74,50.6
Malaysia,2024,MYS,0.57,41
Myanmar,2024,MMR,0.34,27.1
