,name,isAirport,long,lat,country,town,guiness_price
124,The Five Quarter,False,-1.332725,54.758237,England,Peterlee,2.59
601,The Church House,False,-1.345412,53.502186,England,Wath-upon-Dearne,2.59
777,The Union Rooms,False,-1.628588,53.712637,England,Batley,2.59
753,The Blue Bell,False,-1.354261,53.613552,England,Pontefract,2.63
30,The Pontlottyn,False,-3.134537,51.729839,Wales,Abertillery,2.63
127,The Horse Shoe Inn,False,-1.7431,54.715016,England,Crook,2.63
125,The Grand Electric Hall,False,-1.600239,54.699619,England,Spennymoor,2.63
390,The Regal Moon,False,-2.156811,53.617305,England,Rochdale,2.63
417,The Joseph Morton,False,-0.005115,53.365203,England,Louth,2.63
180,The White Hart Hotel,False,-4.0031674,50.739146,England,Okehampton,2.63
266,The Bull's Head Hotel,False,-2.399606,53.524026,England,Manchester,2.63
604,The Horseshoe,False,-1.398634,53.522573,England,Wombwell,2.63
677,The Sir William de Wessyngton,False,-1.522992,54.912658,England,Washington,2.63
248,The Central Hotel,False,-3.039094,53.212225,Wales,Shotton,2.63
670,The Harry Clasper,False,-1.673357,54.945865,England,Whickham,2.63
483,The Limes,False,0.848525,52.828667,England,Fakenham,2.63
128,The Stanley Jefferson,False,-1.673088,54.665303,England,Bishop Auckland,2.63
567,The Captain Noel Newton,False,-0.731175,52.670094,England,Oakham,2.63
521,The Forum,False,-2.101042,54.971866,England,Hexham,2.63
766,The Livery Rooms,False,-1.909999,53.868726,England,Keighley,2.63
513,The Earl of Dalkeith,False,-0.725818,52.399386,England,Kettering,2.63
204,The Cross Keys,False,-0.433352,53.84292,England,Beverley,2.63
169,The Queen's Head Hotel,False,-4.146774,50.549681,England,Tavistock,2.63
792,The Savoy,False,-1.782671,51.56001,England,Swindon,2.63
794,The Sir Daniel Arms,False,-1.787637,51.562324,England,Swindon,2.63
600,The Bluecoat,False,-1.354911,53.428856,England,Rotherham,2.63
638,The Thomas Sheraton,False,-1.312906,54.561391,England,Stockton-on-Tees,2.63
680,The William Jameson,False,-1.381052,54.904626,England,Sunderland,2.63
109,The Coinage Hall,False,-5.275214,50.100822,England,Helston,2.84
460,The Prense Well,False,-3.09928384271061,53.3276802977042,England,Heswall,2.95
450,The Clairville,False,-3.047125,53.419728,England,Wallasey,2.95
447,The Brass Balance,False,-3.018088,53.392383,England,Birkenhead,2.95
142,The Miles Thompson,False,-2.748549,54.326752,England,Kendal,2.95
451,The Dee Hotel,False,-3.182447,53.372818,England,West Kirby,2.95
90,The Penny Black,False,-2.508536,53.262202,England,Northwich,2.95
445,Hoylake Lights,False,-3.177064,53.392477,England,Hoylake,2.95
97,The Wheatsheaf,False,-2.923208,53.282852,England,Ellesmere Port,2.95
414,The Blue Bell Inn,False,-0.654238,53.590434,England,Scunthorpe,2.99
504,The Plimsoll Line,False,-1.060479,54.617258,England,Redcar,2.99
200,City and County,False,-0.871177,53.70353,England,Goole,2.99
123,The Company Row,False,-1.830787,54.852039,England,Consett,2.99
676,The Ritz,False,-1.536996,54.9905,England,Wallsend ,3.11
146,The Sussex,False,-3.491623,53.321051,Wales,Rhyl,3.11
684,The Sir Samuel Romilly,False,-3.284393,51.398496,Wales,Barry,3.11
201,Sanctuary Bar,False,-0.365773,53.771874,England,Kingston Upon Hull,3.11
140,The Furness Railway,False,-3.227954,54.115776,England,Barrow-in-Furness,3.11
202,The Admiral of the Humber,False,-0.343746,53.743197,England,Kingston Upon Hull,3.11
774,The Six Chimneys,False,-1.494346,53.682919,England,Wakefield,3.11
206,The Three John Scotts,False,-0.332747,53.743981,England,Kingston Upon Hull,3.11
621,The Arnold Machin,False,-2.225344,53.012193,England,Newcastle-under-Lyme,3.11
699,St. Matthew's Hall,False,-1.979812,52.585188,England,Walsall,3.11
148,The Babington Arms,False,-1.476332,52.919155,England,Derby,3.15
440,The Sedge Lynn,False,-2.27864,53.444237,England,Chorlton-cum-Hardy,3.15
442,The Tim Bobbin,False,-2.357196,53.448212,England,Urmston,3.15
471,The Bell Hanger,False,-2.67366,51.642586,Wales,Chepstow,3.15
139,The Dog Beck,False,-2.750304,54.661841,England,Penrith,3.15
136,The Whispering Moon,False,-0.149607,51.360066,England,Wallington,3.15
135,The Sir Julian Huxley,False,-0.062519,51.343446,England,Selsdon,3.15
468,Y Dic Penderyn,False,-3.378139,51.747381,Wales,Merthyr Tydfil,3.15
436,The Harbord Harbord,False,-2.198051,53.550159,England,Middleton,3.15
473,The Kings Head ,False,-2.715684,51.811804,Wales,Monmouth,3.15
121,The Spirit Merchant,False,-5.701269,54.594336,N Ireland,Newtownards,3.15
120,The Central Bar,False,-5.806399,54.714593,N Ireland,Carrickfergus,3.15
478,The Godfrey Morgan,False,-2.978427,51.589783,Wales,Newport,3.15
479,The John Wallace Linton,False,-2.998056,51.588957,Wales,Newport,3.15
495,The Carrick Stone,False,-3.987541,55.948697,Scotland,Glasgow,3.15
499,The Crown Inn,False,-1.468513,54.009126,England,Knaresborough,3.15
113,The King Doniert ,False,-4.464954,50.453967,England,Liskeard,3.15
453,The Frank Hornby,False,-2.936744,53.515307,England,Liverpool,3.15
152,The Red Lion,False,-1.407357,53.050784,England,Ripley,3.15
515,The Red Well,False,-0.695287,52.301673,England,Wellingborough,3.15
432,The Eccles Cross,False,-2.334663,53.483229,England,Eccles,3.15
307,The Tilly Shilling,False,-0.756707,51.293438,England,Farnborough,3.15
295,The Maidenhead Inn,False,-1.087566,51.262356,England,Basingstoke,3.15
290,The Ivy House,False,-0.978074,51.146559,England,Alton,3.15
279,The Rochester Castle,False,-0.073976,51.56096,England,Stoke Newington,3.15
277,The Black Bull Inn,False,-4.12906,53.22437,Wales,Bangor,3.15
271,The Up Steps Inn,False,-2.112833,53.542231,England,Oldham,3.15
260,The Lord John,False,-2.218125,51.744793,England,Stroud,3.15
315,The Colley Rowe Inn,False,0.160898,51.59888,England,Collier Row,3.15
250,The Market Cross,False,-3.222796,53.274202,Wales,Holywell,3.15
247,The Robert Nairn,False,-3.158047,56.111982,Scotland,Kirkcaldy,3.15
199,The David Macbeth Moir,False,-3.057992,55.943611,Scotland,Musselburgh,3.15
203,The Benjamin Fawcett,False,-0.440338,54.006331,England,Driffield,3.15
243,The Carron Works,False,-3.783067,56.000127,Scotland,Falkirk,3.15
