title,price,rating,totalReviewCount,variants
Personalised Football Cake (Serves 36),£ 65,4.3014,73,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290871_NC_X_EC_90"
Flower Festival Tulip Cake (Serves 24),£ 45,4.7728,2421,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00193276_NC_X_EC_90"
Personalised Celebration Sponge Cake with Gold Ribbon (Serves 30),£ 45,4.5255,1277,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00475716_NC_X_EC_90"
Vanilla Naked Cake (Serves 24),£ 35,4.713,805,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00151627_NC_X_EC_90"
Chocolate Naked Cake (Serves 24),£ 35,4.6818,308,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290802_NC_X_EC_90"
Personalised Extremely Chocolatey Party Cake (Serves 25),£ 30,4.8627,2069,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00081870_NC_X_EC_90"
Personalised Extra Large Rainbow Layers Cake (Serves 32),£ 60,4.7887,1131,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00151214_NC_X_EC_90"
Chocolate Two Tier Naked Cake (Serves 36),£ 50,4.6993,439,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290833_NC_X_EC_90"
Chocolate Mini Bite Cake (Serves 16),£ 40,4.7753,445,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290925_NC_X_EC_90"
Personalised Extra Large Mini Bite Cake (Serves 24),£ 65,4.6284,148,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290840_NC_X_EC_90"
Carrot Cake (Serves 16),£ 40,4.7254,386,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29294039_NC_X_EC_90"
Vanilla Two Tier Naked Cake (Serves 36),£ 50,4.8204,1331,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290734_NC_X_EC_90"
Colin the Caterpillar Chocolate Brownies Letterbox Gift,£ 20,4.6019,206,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29350308_NC_X_EC_90"
Brownie & Blondie Mini Selection Letterbox Gift,£ 20,4.6383,282,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29350193_NC_X_EC_90"
Personalised Giant Colin the Caterpillar™ Cake (Serves 40),£ 50,4.7626,771,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00714099_NC_X_EC_90"
Personalised Piped Rose Sponge Cake (Serves 24),£ 45,4.7551,1176,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00151139_NC_X_EC_90"
6 Confetti Indulgent Chocolate Brownies Letterbox Gift,£ 20,4.7326,374,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29236800_NC_X_EC_90"
Cookies & Cream Cake (Serves 16),£ 40,4.3886,458,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290932_NC_X_EC_90"
Personalised Celebration Sponge Cake with Silver Ribbon (Serves 30),£ 45,4.4023,711,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00475679_NC_X_EC_90"
Extra Large Cookies & Cream Cake (Serves 32),£ 50,4.6999,1213,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29024377_NC_X_EC_90"
Milk Dark & White Chocolate Layers Cake (Serves 12),£ 35,4.4671,837,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00151566_NC_X_EC_90"
Red Velvet Cake (Serves 16),£ 35,4.7942,413,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29291021_NC_X_EC_90"
Personalised Connie the Giant Caterpillar™ Cake (Serves 40),£ 50,4.725,280,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00346412_NC_X_EC_90"
Rainbow Layers Cake (Serves 12),£ 35,4.5031,2411,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_00346825_NC_X_EC_90"
Personalised Extra Large Red Velvet Cake (Serves 24),£ 60,4.7883,222,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290963_NC_X_EC_90"
Millionaire's Shortbread & 3 Salted Caramel Chocolate Tiffin Letterbox Gift,£ 20,4.6438,160,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29350186_NC_X_EC_90"
Luscious Lemon Cake - Serves 16,£ 40,4.7594,611,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290796_NC_X_EC_90"
Chocolate & Caramel Cake (Serves 16),£ 40,4.5473,148,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290772_NC_X_EC_90"
True Love Cake (Serves 14),£ 30,4.5885,520,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F33A_29050314_NC_X_EC_90"
3 Indulgent Chocolate & 3 Triple Chocolate Brownies Letterbox Gift,£ 20,4.7045,291,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29182015_NC_X_EC_90"
White Chocolate & Raspberry Topped & 3 Indulgent Chocolate Brownies,£ 20,4.5988,334,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29219971_NC_X_EC_90"
Baby Shower Cake - Boy (Serves 16),£ 35,4.9097,144,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290727_NC_X_EC_90"
3 Indulgent Chocolate Brownies & 3 Brookies Letterbox Gift,£ 20,4.6506,83,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29182008_NC_X_EC_90"
Baby Shower Cake - Girl (Serves 16),£ 35,4.8261,92,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290789_NC_X_EC_90"
Personalised Extra Large Chocolate & Caramel Cake (Serves 24),£ 60,4.9062,96,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290970_NC_X_EC_90"
Personalised Under the Sea Mermaid Cake (Serves 20),£ 65,4.5368,95,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29291014_NC_X_EC_90"
Personalised Gardening Cake (Serves 20),£ 65,4.766,94,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29291229_NC_X_EC_90"
Find the Fossil Cake (Serves 28),£ 65,4.8148,54,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290987_NC_X_EC_90"
3 Indulgent Chocolate & 3 Salted Caramel Brownies Letterbox Gift,£ 20,4.4659,88,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29182060_NC_X_EC_90"
6 Indulgent Chocolate Brownies Letterbox Gift,£ 20,4.6993,276,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29182046_NC_X_EC_90"
3 Indulgent Chocolate Brownies & 3 Blondies Letterbox Gift,£ 20,4.5773,194,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29182053_NC_X_EC_90"
6 Plant Kitchen Chocolate Brownies,£ 20,4.6,45,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29246793_NC_X_EC_90"
Personalised Safari Cake (Serves 20),£ 85,4.1875,16,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290901_NC_X_EC_90"
Personalised Gender Reveal Cake - Boy (Serves 16),£ 45,5,3,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290895_NC_X_EC_90"
Personalised Gender Reveal Cake - Girl (Serves 16),£ 45,4,2,"https://assets.digitalcontent.marksandspencer.app/image/upload/w_1024,q_auto,f_auto/SD_FD_F09A_29290758_NC_X_EC_90"
