Country,Year,Primary Energy Consumption (Exajoules)
World,1965,156.1
OECD,1965,110.23
Non-OECD,1965,45.87
European Union,1965,34.03
World,1966,164.64
OECD,1966,115.84
Non-OECD,1966,48.8
European Union,1966,35.19
World,1967,170.68
OECD,1967,120.28
Non-OECD,1967,50.4
European Union,1967,36.41
World,1968,180.89
OECD,1968,128.1
Non-OECD,1968,52.79
European Union,1968,38.98
World,1969,193.32
OECD,1969,136.79
Non-OECD,1969,56.54
European Union,1969,42.2
World,1970,205.8
OECD,1970,144.71
Non-OECD,1970,61.09
European Union,1970,45.28
World,1971,213.98
OECD,1971,148.42
Non-OECD,1971,65.56
European Union,1971,46.7
World,1972,225.72
OECD,1972,156.22
Non-OECD,1972,69.5
European Union,1972,49.2
World,1973,238.79
OECD,1973,164.97
Non-OECD,1973,73.82
European Union,1973,52.01
World,1974,240.09
OECD,1974,162.69
Non-OECD,1974,77.4
European Union,1974,51.5
World,1975,241.75
OECD,1975,159.87
Non-OECD,1975,81.88
European Union,1975,51.25
World,1976,254.68
OECD,1976,168.38
Non-OECD,1976,86.3
European Union,1976,54.43
World,1977,263.89
OECD,1977,172.09
Non-OECD,1977,91.79
European Union,1977,55.3
World,1978,274.22
OECD,1978,177.1
Non-OECD,1978,97.12
European Union,1978,57.5
World,1979,283.33
OECD,1979,181.59
Non-OECD,1979,101.74
European Union,1979,59.58
World,1980,280.81
OECD,1980,176.73
Non-OECD,1980,104.09
European Union,1980,58.63
World,1981,279.58
OECD,1981,172.84
Non-OECD,1981,106.74
European Union,1981,56.9
World,1982,278.2
OECD,1982,167.89
Non-OECD,1982,110.31
European Union,1982,55.57
World,1983,282.97
OECD,1983,168.69
Non-OECD,1983,114.28
European Union,1983,55.8
World,1984,295.67
OECD,1984,175.68
Non-OECD,1984,119.99
European Union,1984,57.51
World,1985,303.6
OECD,1985,180.19
Non-OECD,1985,123.41
European Union,1985,60.46
World,1986,310.35
OECD,1986,182.44
Non-OECD,1986,127.91
European Union,1986,61.32
World,1987,321.57
OECD,1987,188.02
Non-OECD,1987,133.55
European Union,1987,62.63
World,1988,333.55
OECD,1988,194.25
Non-OECD,1988,139.31
European Union,1988,63.15
World,1989,340.01
OECD,1989,197.74
Non-OECD,1989,142.27
European Union,1989,63.32
World,1990,343.96
OECD,1990,198.55
Non-OECD,1990,145.41
European Union,1990,62.79
World,1991,346.71
OECD,1991,200.57
Non-OECD,1991,146.14
European Union,1991,62.68
World,1992,348.75
OECD,1992,202.52
Non-OECD,1992,146.23
European Union,1992,61.55
World,1993,351.56
OECD,1993,205.48
Non-OECD,1993,146.08
European Union,1993,61.07
World,1994,356.03
OECD,1994,209.01
Non-OECD,1994,147.02
European Union,1994,60.88
World,1995,363.81
OECD,1995,214.26
Non-OECD,1995,149.54
European Union,1995,62.44
World,1996,374.29
OECD,1996,221.46
Non-OECD,1996,152.84
European Union,1996,64.39
World,1997,378.08
OECD,1997,223.71
Non-OECD,1997,154.37
European Union,1997,64.04
World,1998,380.27
OECD,1998,224.47
Non-OECD,1998,155.8
European Union,1998,64.63
World,1999,386.74
OECD,1999,227.76
Non-OECD,1999,158.98
European Union,1999,64.36
World,2000,397.33
OECD,2000,232.41
Non-OECD,2000,164.91
European Union,2000,64.89
World,2001,401.2
OECD,2001,230.65
Non-OECD,2001,170.55
European Union,2001,66.09
World,2002,409.71
OECD,2002,232.71
Non-OECD,2002,177.01
European Union,2002,65.7
World,2003,424.12
OECD,2003,234.73
Non-OECD,2003,189.39
European Union,2003,66.89
World,2004,445.42
OECD,2004,239.26
Non-OECD,2004,206.17
European Union,2004,67.85
World,2005,460.35
OECD,2005,241.07
Non-OECD,2005,219.28
European Union,2005,67.89
World,2006,473.36
OECD,2006,241.44
Non-OECD,2006,231.92
European Union,2006,68.32
World,2007,487.88
OECD,2007,243.05
Non-OECD,2007,244.83
European Union,2007,67.51
World,2008,493.67
OECD,2008,240.43
Non-OECD,2008,253.24
European Union,2008,67.25
World,2009,485.83
OECD,2009,228.71
Non-OECD,2009,257.11
European Union,2009,63.22
World,2010,509.25
OECD,2010,237.06
Non-OECD,2010,272.18
European Union,2010,65.82
World,2011,520.95
OECD,2011,234.6
Non-OECD,2011,286.35
European Union,2011,63.88
World,2012,528.28
OECD,2012,232.5
Non-OECD,2012,295.78
European Union,2012,63.19
World,2013,537.48
OECD,2013,234.81
Non-OECD,2013,302.66
European Union,2013,62.74
World,2014,543.21
OECD,2014,232.88
Non-OECD,2014,310.32
European Union,2014,60.54
World,2015,547.33
OECD,2015,233.43
Non-OECD,2015,313.89
European Union,2015,61.38
World,2016,552.99
OECD,2016,234.62
Non-OECD,2016,318.36
European Union,2016,62.01
World,2017,566.11
OECD,2017,237.13
Non-OECD,2017,328.98
European Union,2017,62.98
World,2018,581.47
OECD,2018,240.65
Non-OECD,2018,340.81
European Union,2018,62.79
World,2019,588.05
OECD,2019,238.53
Non-OECD,2019,349.52
European Union,2019,61.76
World,2020,567.6
OECD,2020,221.91
Non-OECD,2020,345.69
European Union,2020,57.11
World,2021,596.62
OECD,2021,232.56
Non-OECD,2021,364.07
European Union,2021,60.21
World,2022,607.35
OECD,2022,233.55
Non-OECD,2022,373.8
European Union,2022,57.85
World,2023,619.63
OECD,2023,229.9
Non-OECD,2023,389.73
European Union,2023,56.38
