Title,Price,Star Rating
A Light in the Attic,51.77,3.00
Tipping the Velvet,53.74,1.00
Soumission,50.10,1.00
Sharp Objects,47.82,4.00
Sapiens: A Brief History of Humankind,54.23,5.00
The Requiem Red,22.65,1.00
The Dirty Little Secrets of Getting Your Dream Job,33.34,4.00
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3.00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,4.00
The Black Maria,52.15,1.00
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2.00
Shakespeare's Sonnets,20.66,4.00
Set Me Free,17.46,5.00
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5.00
Rip it Up and Start Again,35.02,5.00
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3.00
Olio,23.88,1.00
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1.00
Libertarianism for Beginners,51.33,2.00
It's Only the Himalayas,45.17,2.00
