year,item,price
1988.0,Sliced White Bread,0.44999999
1988.0,Pork Sausages,1.8959732
1988.0,Cheddar,1.39
1989.0,Sliced White Bread,0.47999999
1989.0,Pork Sausages,2.0723429
1989.0,Cheddar,1.53
1990.0,Sliced White Bread,0.50999999
1990.0,Pork Sausages,2.1825738
1990.0,Cheddar,1.76
1991.0,Sliced White Bread,0.54000002
1991.0,Pork Sausages,2.4030359
1991.0,Cheddar,1.84
1992.0,Sliced White Bread,0.57999998
1992.0,Pork Sausages,2.5353129
1992.0,Cheddar,2.0799999
1993.0,Sliced White Bread,0.60000002
1993.0,Pork Sausages,2.623498
1993.0,Cheddar,2.29
1994.0,Sliced White Bread,0.56999999
1994.0,Pork Sausages,2.623498
1994.0,Cheddar,2.24
1995.0,Sliced White Bread,0.57999998
1995.0,Pork Sausages,2.755775
1995.0,Cheddar,2.451
1996.0,Sliced White Bread,0.56999999
1996.0,Pork Sausages,3.0644217
1996.0,Cheddar,5.5
1996.0,Potatoes,0.44092402
1997.0,Sliced White Bread,0.49000001
1997.0,Pork Sausages,3.0644217
1997.0,Cheddar,6.23
1997.0,Potatoes,0.3968316
1998.0,Sliced White Bread,0.49000001
1998.0,Pork Sausages,3.0423756
1998.0,Cheddar,6.2800002
1998.0,Potatoes,0.52910876
1999.0,Sliced White Bread,0.52999997
1999.0,Pork Sausages,3.0599999
1999.0,Cheddar,6.3800001
1999.0,Potatoes,0.63
2000.0,Sliced White Bread,0.55000001
2000.0,Pork Sausages,3.26
2000.0,Cheddar,6.4899998
2000.0,Potatoes,0.56
2001.0,Sliced White Bread,0.56999999
2001.0,Pork Sausages,3.4100001
2001.0,Cheddar,7.1900001
2001.0,Potatoes,0.85000002
2002.0,Sliced White Bread,0.58999997
2002.0,Pork Sausages,3.51
2002.0,Cheddar,7.25
2002.0,Potatoes,0.68000001
2003.0,Sliced White Bread,0.63
2003.0,Pork Sausages,3.72
2003.0,Cheddar,7.25
2003.0,Potatoes,0.64999998
2004.0,Sliced White Bread,0.68000001
2004.0,Pork Sausages,3.8499999
2004.0,Cheddar,7.25
2004.0,Potatoes,0.77999997
2005.0,Pork Sausages,3.99
2005.0,Cheddar,7.25
2006.0,Pork Sausages,4.0900002
2006.0,Cheddar,7.25
2007.0,Pork Sausages,4.1900001
2007.0,Cheddar,7.6500001
2008.0,Pork Sausages,4.5
2008.0,Cheddar,8.4799995
2009.0,Pork Sausages,5.0
2009.0,Cheddar,9.3999996
2010.0,Pork Sausages,4.8499999
2011.0,Pork Sausages,5.02
2012.0,Porridge Oats,1.78
2012.0,Pork Sausages,5.2600002
2013.0,Porridge Oats,1.99
2013.0,Pork Sausages,5.4899998
2014.0,Porridge Oats,1.99
2014.0,Pork Sausages,5.5100002
2015.0,Porridge Oats,1.995
2015.0,Pork Sausages,5.5100002
2016.0,Porridge Oats,2.0
2016.0,Pork Sausages,5.4000001
2017.0,Porridge Oats,2.0
2017.0,Pork Sausages,5.3099999
2018.0,Porridge Oats,2.0
2018.0,Pork Sausages,5.1500001
2019.0,Porridge Oats,2.0
2019.0,Pork Sausages,5.330000200000001
2020.0,Porridge Oats,2.0
2020.0,Pork Sausages,5.5
2021.0,Porridge Oats,1.98
2021.0,Pork Sausages,5.8800001
2022.0,Porridge Oats,2.0
2022.0,Pork Sausages,6.0999999
2023.0,Porridge Oats,2.3
2023.0,Pork Sausages,6.6100001
2024.0,Porridge Oats,2.3
2024.0,Pork Sausages,6.98
