year,region,price,region_name
1988,2.0,1.9621117,London
1988,3.0,2.0502965,South East
1988,4.0,1.9841579,South West
1988,5.0,2.0723429,East Anglia
1988,6.0,1.9841579,East Midlands
1988,7.0,1.8518808,West Midlands
1988,8.0,1.7196035,Yorkshire & Humber
1988,9.0,1.7196035,North West
1988,10.0,1.8959732,North
1988,11.0,1.8298345999999999,Wales
1988,12.0,1.9621117,Scotland
1988,13.0,1.8518808,Northern Ireland
1989,2.0,2.2487123,London
1989,3.0,2.1164351,South East
1989,4.0,2.1164351,South West
1989,5.0,2.2487123,East Anglia
1989,6.0,2.094389,East Midlands
1989,7.0,1.9400656,West Midlands
1989,8.0,1.873927,Yorkshire & Humber
1989,9.0,1.8518808,North West
1989,10.0,2.0282505,North
1989,11.0,1.873927,Wales
1989,12.0,2.1605277,Scotland
1989,13.0,2.094389,Northern Ireland
1990,2.0,2.425082,London
1990,3.0,2.4030359,South East
1990,4.0,2.4691744,South West
1990,5.0,2.5353129,East Anglia
1990,6.0,2.1825738,East Midlands
1990,7.0,2.1605277,West Midlands
1990,8.0,2.094389,Yorkshire & Humber
1990,9.0,2.094389,North West
1990,10.0,2.2928047,North
1990,11.0,2.1164351,Wales
1990,12.0,2.4030359,Scotland
1990,13.0,2.1825738,Northern Ireland
1991,2.0,2.4691744,London
1991,3.0,2.4691744,South East
1991,4.0,2.4030359,South West
1991,5.0,2.623498,East Anglia
1991,6.0,2.3368971,East Midlands
1991,7.0,2.1825738,West Midlands
1991,8.0,2.1825738,Yorkshire & Humber
1991,9.0,2.2046199,North West
1991,10.0,2.4030359,North
1991,11.0,2.3148508,Wales
1991,12.0,2.5353129,Scotland
1991,13.0,2.0282505,Northern Ireland
1992,2.0,2.8439598,London
1992,3.0,2.8439598,South East
1992,4.0,2.74475195,South West
1992,5.0,2.7998673,East Anglia
1992,6.0,2.5573592,East Midlands
1992,7.0,2.4030359,West Midlands
1992,8.0,2.4030359,Yorkshire & Humber
1992,9.0,2.3148508,North West
1992,10.0,2.4030359,North
1992,11.0,2.4030359,Wales
1992,12.0,2.6455441,Scotland
1992,13.0,2.1825738,Northern Ireland
1993,2.0,2.8439598,London
1993,3.0,2.9762371,South East
1993,4.0,2.8439598,South West
1993,5.0,2.8439598,East Anglia
1993,6.0,2.623498,East Midlands
1993,7.0,2.425082,West Midlands
1993,8.0,2.4030359,Yorkshire & Humber
1993,9.0,2.3809898,North West
1993,10.0,2.425082,North
1993,11.0,2.5353129,Wales
1993,12.0,2.8660059,Scotland
1993,13.0,2.2046199,Northern Ireland
1994,2.0,2.8439598,London
1994,3.0,2.8439598,South East
1994,4.0,2.7116826,South West
1994,5.0,2.8439598,East Anglia
1994,6.0,2.623498,East Midlands
1994,7.0,2.425082,West Midlands
1994,8.0,2.425082,Yorkshire & Humber
1994,9.0,2.4030359,North West
1994,10.0,2.5353129,North
1994,11.0,2.425082,Wales
1994,12.0,2.8439598,Scotland
1994,13.0,2.5573592,Northern Ireland
1995,2.0,3.0423756,London
1995,3.0,2.9762371,South East
1995,4.0,2.8439598,South West
1995,5.0,3.0423756,East Anglia
1995,6.0,2.755775,East Midlands
1995,7.0,2.4691744,West Midlands
1995,8.0,2.623498,Yorkshire & Humber
1995,9.0,2.4030359,North West
1995,10.0,2.6014514,North
1995,11.0,2.5353129,Wales
1995,12.0,3.0644217,Scotland
1995,13.0,2.6455441,Northern Ireland
1996,2.0,3.1966991,London
1996,3.0,3.2848837,South East
1996,4.0,3.086468,South West
1996,5.0,3.2848837,East Anglia
1996,6.0,3.0423756,East Midlands
1996,7.0,2.623498,West Midlands
1996,8.0,2.8439598,Yorkshire & Humber
1996,9.0,2.8219135,North West
1996,10.0,2.8439598,North
1996,11.0,2.7778211,Wales
1996,12.0,3.2848837,Scotland
1996,13.0,2.76679815,Northern Ireland
1997,2.0,3.086468,London
1997,3.0,3.2848837,South East
1997,4.0,3.086468,South West
1997,5.0,3.5053458,East Anglia
1997,6.0,3.0644217,East Midlands
1997,7.0,2.623498,West Midlands
1997,8.0,2.954191,Yorkshire & Humber
1997,9.0,2.623498,North West
1997,10.0,3.0644217,North
1997,11.0,2.8439598,Wales
1997,12.0,3.2628376,Scotland
1997,13.0,2.8660059,Northern Ireland
1998,2.0,3.27386065,London
1998,3.0,3.2848837,South East
1998,4.0,3.086468,South West
1998,5.0,3.4832997,East Anglia
1998,6.0,3.2848837,East Midlands
1998,7.0,2.623498,West Midlands
1998,8.0,2.8660059,Yorkshire & Humber
1998,9.0,2.7778211,North West
1998,10.0,2.8660059,North
1998,11.0,2.8439598,Wales
1998,12.0,3.2628376,Scotland
1998,13.0,2.8439598,Northern Ireland
1999,2.0,3.48,London
1999,3.0,3.28,South East
1999,4.0,3.0599999,South West
1999,5.0,3.51,East Anglia
1999,6.0,3.28,East Midlands
1999,7.0,2.8199999,West Midlands
1999,8.0,2.8699999,Yorkshire & Humber
1999,9.0,2.78,North West
1999,10.0,2.98,North
1999,11.0,2.8399999,Wales
1999,12.0,3.26,Scotland
1999,13.0,2.8399999,Northern Ireland
2000,2.0,3.28,London
2000,3.0,3.3099999,South East
2000,4.0,3.28,South West
2000,5.0,3.6850001,East Anglia
2000,6.0,3.28,East Midlands
2000,7.0,2.8399999,West Midlands
2000,8.0,3.0,Yorkshire & Humber
2000,9.0,2.97,North West
2000,10.0,3.04,North
2000,11.0,2.8699999,Wales
2000,12.0,3.3499999,Scotland
2000,13.0,2.8699999,Northern Ireland
2001,2.0,3.75,London
2001,3.0,3.52,South East
2001,4.0,2.99,South West
2001,5.0,3.8499999,East Anglia
2001,6.0,3.49,East Midlands
2001,7.0,3.26,West Midlands
2001,8.0,3.0599999,Yorkshire & Humber
2001,9.0,3.28,North West
2001,10.0,3.51,North
2001,11.0,2.8599999,Wales
2001,12.0,3.73,Scotland
2001,13.0,3.0899999,Northern Ireland
2002,2.0,3.75,London
2002,3.0,3.7649999999999997,South East
2002,4.0,3.26,South West
2002,5.0,3.8,East Anglia
2002,6.0,3.6400001,East Midlands
2002,7.0,3.4100001,West Midlands
2002,8.0,3.6900001,Yorkshire & Humber
2002,9.0,3.28,North West
2002,10.0,3.65999995,North
2002,11.0,3.26,Wales
2002,12.0,3.8199999,Scotland
2002,13.0,3.28,Northern Ireland
2003,2.0,3.99,London
2003,3.0,3.98,South East
2003,4.0,3.28,South West
2003,5.0,3.73,East Anglia
2003,6.0,3.73,East Midlands
2003,7.0,3.52,West Midlands
2003,8.0,3.5,Yorkshire & Humber
2003,9.0,3.45,North West
2003,10.0,3.7,North
2003,11.0,3.26,Wales
2003,12.0,3.8599999,Scotland
