Country,ISO3,Year,Gender,Age,Population,StartAge
WORLD,,1950.0,Male,0-4,174647.3905,0
WORLD,,1951.0,Male,0-4,182143.7825,0
WORLD,,1952.0,Male,0-4,189197.7125,0
WORLD,,1953.0,Male,0-4,196306.916,0
WORLD,,1954.0,Male,0-4,202386.962,0
WORLD,,1955.0,Male,0-4,207810.9915,0
WORLD,,1956.0,Male,0-4,212741.511,0
WORLD,,1957.0,Male,0-4,217359.548,0
WORLD,,1958.0,Male,0-4,221485.819,0
WORLD,,1959.0,Male,0-4,223252.0245,0
WORLD,,1960.0,Male,0-4,222727.37,0
WORLD,,1961.0,Male,0-4,222030.558,0
WORLD,,1962.0,Male,0-4,224158.077,0
WORLD,,1963.0,Male,0-4,230897.137,0
WORLD,,1964.0,Male,0-4,239720.4305,0
WORLD,,1965.0,Male,0-4,248185.789,0
WORLD,,1966.0,Male,0-4,256296.1015,0
WORLD,,1967.0,Male,0-4,261582.917,0
WORLD,,1968.0,Male,0-4,263726.0195,0
WORLD,,1969.0,Male,0-4,265956.6455,0
WORLD,,1970.0,Male,0-4,269075.0035,0
WORLD,,1971.0,Male,0-4,272513.824,0
WORLD,,1972.0,Male,0-4,276067.2315,0
WORLD,,1973.0,Male,0-4,278594.1305,0
WORLD,,1974.0,Male,0-4,279713.3115,0
WORLD,,1975.0,Male,0-4,279727.203,0
WORLD,,1976.0,Male,0-4,279031.664,0
WORLD,,1977.0,Male,0-4,278331.5605,0
WORLD,,1978.0,Male,0-4,277773.662,0
WORLD,,1979.0,Male,0-4,278464.4,0
WORLD,,1980.0,Male,0-4,281025.967,0
WORLD,,1981.0,Male,0-4,285101.389,0
WORLD,,1982.0,Male,0-4,290787.0375,0
WORLD,,1983.0,Male,0-4,296763.3675,0
WORLD,,1984.0,Male,0-4,301878.346,0
WORLD,,1985.0,Male,0-4,306729.434,0
WORLD,,1986.0,Male,0-4,311639.466,0
WORLD,,1987.0,Male,0-4,316531.2835,0
WORLD,,1988.0,Male,0-4,321333.4005,0
WORLD,,1989.0,Male,0-4,326098.84,0
WORLD,,1990.0,Male,0-4,330438.039,0
WORLD,,1991.0,Male,0-4,332500.014,0
WORLD,,1992.0,Male,0-4,331715.3985,0
WORLD,,1993.0,Male,0-4,330068.0475,0
WORLD,,1994.0,Male,0-4,327839.743,0
WORLD,,1995.0,Male,0-4,324693.686,0
WORLD,,1996.0,Male,0-4,322222.885,0
WORLD,,1997.0,Male,0-4,321085.882,0
WORLD,,1998.0,Male,0-4,320337.1825,0
WORLD,,1999.0,Male,0-4,319904.785,0
WORLD,,2000.0,Male,0-4,320174.4335,0
WORLD,,2001.0,Male,0-4,321100.219,0
WORLD,,2002.0,Male,0-4,322421.477,0
WORLD,,2003.0,Male,0-4,324100.226,0
WORLD,,2004.0,Male,0-4,326033.947,0
WORLD,,2005.0,Male,0-4,327768.007,0
