Country,ISO3,value,date
Zimbabwe,ZWE,2607.92767806131,2022-01-01
Zambia,ZMB,3975.60063934688,2022-01-01
West Bank and Gaza,PSE,6759.02159778116,2022-01-01
Viet Nam,VNM,13461.0089701732,2022-01-01
Vanuatu,VUT,3290.56937087758,2022-01-01
Uzbekistan,UZB,9535.66969063583,2022-01-01
Uruguay,URY,28851.5401574871,2022-01-01
United States,USA,76329.5822652032,2022-01-01
United Kingdom,GBR,57460.5057520708,2022-01-01
United Arab Emirates,ARE,88488.9846057784,2022-01-01
Ukraine,UKR,12675.4365234375,2022-01-01
Uganda,UGA,2693.10830508653,2022-01-01
Tuvalu,TUV,5423.04866832283,2022-01-01
Turks and Caicos Islands,TCA,24471.5178671209,2022-01-01
Turkiye,TUR,38355.1539672096,2022-01-01
Tunisia,TUN,12483.6306945385,2022-01-01
Trinidad and Tobago,TTO,27515.526422483,2022-01-01
Tonga,TON,6778.50356937661,2021-01-01
Togo,TGO,2601.75000924947,2022-01-01
Timor-Leste,TLS,4657.38225133718,2022-01-01
Thailand,THA,20679.1194757004,2022-01-01
Tanzania,TZA,3099.17333984375,2022-01-01
Tajikistan,TJK,4886.74399157372,2022-01-01
Switzerland,CHE,90746.4532786,2022-01-01
Sweden,SWE,68178.0303749515,2022-01-01
Suriname,SUR,17773.4839559165,2022-01-01
Sudan,SDN,4217.421875,2022-01-01
St. Vincent and the Grenadines,VCT,17212.4297036525,2022-01-01
St. Lucia,LCA,17835.6975441173,2022-01-01
St. Kitts and Nevis,KNA,33981.8395952354,2022-01-01
Sri Lanka,LKA,14410.1880225641,2022-01-01
Spain,ESP,48685.4963088272,2022-01-01
South Africa,ZAF,15920.4254097241,2022-01-01
Somalia,SOM,1710.96228128642,2022-01-01
Solomon Islands,SLB,2654.97032846244,2022-01-01
Slovenia,SVN,51281.8575102669,2022-01-01
Slovak Republic,SVK,41013.3898145678,2022-01-01
Sint Maarten (Dutch part),SXM,49540.8645302032,2022-01-01
Singapore,SGP,127606.814763458,2022-01-01
Sierra Leone,SLE,1930.90072713085,2022-01-01
Seychelles,SYC,29771.7466102443,2022-01-01
Serbia,SRB,25061.8479760272,2022-01-01
Senegal,SEN,4210.35927863676,2022-01-01
Saudi Arabia,SAU,59279.8900475083,2022-01-01
Sao Tome and Principe,STP,4061.80808115283,2022-01-01
San Marino,SMR,67982.970511185,2021-01-01
Samoa,WSM,6089.55885236503,2022-01-01
Rwanda,RWA,2793.1850208006,2022-01-01
Russian Federation,RUS,34637.76171875,2022-01-01
Romania,ROU,43239.642987582,2022-01-01
Qatar,QAT,114049.227996855,2022-01-01
Puerto Rico,PRI,40510.9924296149,2022-01-01
Portugal,PRT,44484.297435137,2022-01-01
Poland,POL,46609.6062630848,2022-01-01
Philippines,PHL,10136.5527084588,2022-01-01
Peru,PER,15052.5031043298,2022-01-01
Paraguay,PRY,15982.6044425,2022-01-01
Papua New Guinea,PNG,4432.7896182552,2022-01-01
Panama,PAN,39292.6875051924,2022-01-01
Palau,PLW,15572.7392991737,2021-01-01
Pakistan,PAK,6351.00252324571,2022-01-01
Oman,OMN,41738.1607783558,2022-01-01
Norway,NOR,121259.240045276,2022-01-01
North Macedonia,MKD,21304.4620126479,2022-01-01
Nigeria,NGA,5862.23507005742,2022-01-01
Niger,NER,1505.54264771219,2022-01-01
Nicaragua,NIC,6877.07083200217,2022-01-01
New Zealand,NZL,52547.0117697812,2022-01-01
Netherlands,NLD,74541.7992402552,2022-01-01
